Facility,ICE Dedicated /Non-Dedicated,Address,ICE Field Office,State,Contract Type ,Facility Operator,FY20 ALOS,FY20 Male Crim,FY20 Male Non-Crim,FY20 Female Crim,FY20 Female Non-Crim,FY 2020 ADP (Fac List on 09/08/20),FY21 ALOS,FY21 Male Crim,FY21 Male Non-Crim,FY21 Female Crim,FY21 Female Non-Crim,FY 2021 ADP (Fac List on 01/04/21),FY 2021 ADP (Fac List on 02/08/21),FY20 Guaranteed Min,FY21 Guaranteed Min
Karnes County Family Residential Center,Dedicated,"409 FM 1144 Karnes City, TX, 78118",San Antonio,Texas,FAMILY,GEO,28.7,3.8,144.5,0,62.9,218,14,0,45,0,47,93,96,830,830
Kay County Detention Center,Non-Dedicated,"1101 West Dry Road Newkirk, OK, 74647",Dallas,Oklahoma,IGSA,GOV,74.9,21.1,9.4,14.2,42,89,32,20,9,3,8,40,45,,
Kenosha County Detention Center,,"4777 88th Avenue Kenosha, WI, 53144",Chicago,Wisconsin,,GOV,,,,,,,,,,,,,,,
Kent County Jail,Non-Dedicated,"1 Ball Ave NE Grand Rapids, MI 49503",Detroit,Michigan,IGSA,GOV,,,,,,0,,,,,,0,0,,
Krome Detention Center,Dedicated,"18201 SW 12th Street Miami, FL, 33194",Miami,Florida,SPC,GOV,27.6,338.6,194.1,0,0,542,30,245,117,0,0,366,347,450,450
La Palma Correctional Center,Dedicated,"5501 North La Palma Road Eloy, AZ",Phoenix,Arizona,DIGSA,GOV,91.6,243.8,729.6,0,0.2,1004,180,130,330,0,0,469,427,650,1800
La Palma Correctional Center - APSO,Dedicated,"5501 North La Palma Road Eloy, AZ",Phoenix,Arizona,DIGSA,GOV,66,221,357,0,0,592,83,153,159,0,0,313,299,650,1800
La Paz Adult Detention Facility,Non-Dedicated,"1109 W Arizona Ave, Parker, AZ 85344",Phoenix,Arizona,USMS IGA,GOV,,,,,,2,,,,,,1,1,,
La Plata County Jail,Non-Dedicated,"742 Turner Dr. Durango, CO 81303",Denver,Colorado,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
La Salle ICE Processing Center - Olla,Non-Dedicated,"15976 Highway 165. Olla, Louisiana 71465",New Orleans,Louisiana,IGSA,GOV,19.8,95.3,232.8,0,0,344,,,,,,,,550,
Laredo Detention Center,Dedicated,"4702 East Saunders Laredo, TX, 78401",San Antonio,Texas,DIGSA,CORECIVIC,36.3,1.5,0.9,25.5,159.6,194,,,,,,75,83,0,
LaSalle County Regional Detention Center,Non-Dedicated,"832 E. Texas 44 Encinal, TX, 78019",San Antonio,Texas,USMS IGA,GOV,4.7,2.3,2.4,0,0,3,,,,,,46,34,,
LaSalle ICE Processing Center - Jena,Dedicated,"830 Pine Hill Road Jena, LA, 71342",New Orleans,Louisiana,DIGSA,GEO,42.9,343.5,411.9,85.8,102.3,977,96,167,281,52,24,530,505,1170,1170
Lexington County Jail,Non-Dedicated,"521 Gibson Rd Lexington, SC 29072",Atlanta,South Carolina,USMS IGA,GOV,1.4,1.6,0.6,0,0,2,,,,,,3,2,0,
Limestone County Detention Center,Non-Dedicated,"910 North Tyus Street Groesbeck, TX 76642",San Antonio,Texas,USMS IGA,GOV,102.5,37.6,207.5,0,0,256,76,36,99,0,0,131,139,0,
Lincoln County Detention Center,Non-Dedicated,"65 Business Park Dr, Troy, MO 63379",Chicago,Missouri,IGSA,GOV,,,,,,5,,,,,,0,0,,
Linn County Jail,Non-Dedicated,"53 3rd Avenue Bridge
Cedar Rapids, IA 52401",St. Paul,Iowa,USMS IGA,GOV,8.8,3.5,0.9,0.4,0.1,5,15,2,1,1,0,3,3,0,
Long Creek Youth Development Center,Non-Dedicated,"675 Westbrook St, South Portland, ME 04106",Boston,Maine,JUVENILE,GOV,,,,,,,,,,,,,,,
Lonoke Police Department,Non-Dedicated,"203 Front St SW Lonoke, AR 72086",New Orleans,Arkansas,IGSA,GOV,2.1,0.8,0.3,0,0,1,,,,,,1,1,0,
Los Angeles Staging Facility (LASF),,"300 North Los Angeles Street Suite B-18, Los Angeles, CA 90012",Los Angeles,California,,GOV,,,,,,,,,,,,,,,
Lubbock County Detention Center,Non-Dedicated,"811 Main St Lubbock, TX 79401",Dallas,Texas,USMS IGA,GOV,,,,,,1,2,0,0,0,0,1,1,,
McHenry County Adult Correctional Facility,Non-Dedicated,"2200 N. Seminary Ave. Woodstock, IL, 60098",Chicago,Illinois,USMS IGA,GOV,1.5,0.8,0.6,0,0.1,216,33,79,41,3,2,127,118,0,
Mecklenburg County Detention Center North,Non-Dedicated,"5234 Spector Dr. Charlotte, NC 28269",Atlanta,North Carolina,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Mesa Verde ICE Processing Center,Dedicated,"425 Golden State Avenue Bakersfield, CA, 93301",San Francisco,California,CDF,GEO,40.7,187.8,17.1,8.3,34.4,261,294,47,1,0,0,48,46,320,320
Miller County Jail,Non-Dedicated,"2300 East Street, Texarkana, AR 71854",New Orleans,Arkansas,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Mini Cassia Criminal Justice Center,Non-Dedicated,"1415 Albion Ave, Burley, ID 83318",Salt Lake City,Idaho,IGSA,GOV,4.5,2.5,0.3,0.1,0,3,3,1,0,0,0,2,2,0,
Moffat County Jail,Non-Dedicated,"800 West 1st St. Craig, CO 81625",Denver,Colorado,IGSA,GOV,,,,,,0,,,,,,0,0,,
Monroe County Detention Center,Non-Dedicated,"5501 College Rd, Stock Island, Key West, FL 33040.",Miami,Florida,IGSA,GOV,,,,,,41,,,,,,0,0,,
Monroe County Jail,Non-Dedicated,"7000 East Dunbar Road Monroe, MI, 48161",Detroit,Michigan,IGSA,GOV,21.7,22.7,24.6,0,0,50,43,7,4,0,0,11,10,0,
Montgomery City Jail,Non-Dedicated,"320 North Ripley Street Montgomery, AL 36104",New Orleans,Alabama,IGSA,GOV,,,,,,1,,,,,,0,0,,
Montgomery County Jail,Non-Dedicated,"211 East Main Montgomery City, MO, 63361",Chicago,Missouri,IGSA,GOV,34.1,16.4,8.6,0.1,0.6,26,,,,,,21,18,0,
Montgomery Processing Center (Houston),Dedicated,"806 Hilbig Road Conroe, TX, 77301",Houston,Texas,CDF,GOV,28.7,349.9,183.1,44.4,48.7,651,35,202,180,18,26,433,382,750,750
Moore Detention Center,,"111 S. Alabama Ave., Okmulgee, OK 74447. ",Dallas,Oklahoma,,GOV,,,,,,,,,,,,,,,
Morgan County Detention Center,Non-Dedicated,"211 East Newton St., Versailles, Missouri 65084.",Chicago,Missouri,IGSA,GOV,33.2,26.3,12.1,0.4,0.2,39,29,14,8,1,1,23,24,0,
Morrow County Correctional Facility,Non-Dedicated,"101 Home Road Mt. Gilead, OH, 43338",Detroit,Ohio,IGSA,GOV,15.8,20.6,8.1,0.1,0.4,30,53,5,2,0,0,8,6,0,
Natrona County Jail,Non-Dedicated,"1100 Bruce Ln. Casper, WY 82601",Denver,Wyoming,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Nevada Southern Detention Center,Non-Dedicated,"2190 E Mesquite Avenue Pahrump, NV, 89048",Salt Lake City,Nevada,USMS IGA,CORECIVIC,76.5,66.2,37.7,10.3,42.1,161,47,49,18,5,11,83,82,0,
New Hanover County Jail,Non-Dedicated,"3950 Juvenile Center Rd, Castle Hayne, NC 28429",Atlanta,North Carolina,IGSA,GOV,2.3,0.9,0.3,0,0,1,2,1,0,0,0,1,1,0,
Nobles County Jail,Non-Dedicated,"1530 Airport Rd, Worthington, MN 56187",St. Paul,Minnesota,IGSA,GOV,,,,,,1,,,,,,1,0,,
Northern Oregon Correctional Facility,Non-Dedicated,"201 Webber Road, The Dalles, OR, 97058",Seattle,Oregon,IGSA,GOV,,,,,,8,,,,,,0,0,,
Northern Oregon Juvenille Detention Center,Non-Dedicated,"211 Webber St, The Dalles, OR 97058",Seattle,Oregon,JUVENILE,GOV,,,,,,1,,,,,,0,0,,
Northern Virginia Juvenille Detention Center,Non-Dedicated,"200 S Whiting St. Alexandria, VA 22304",Washington D.C.,Virginia,JUVENILE,GOV,,,,,,0,,,,,,0,0,,
Northwest ICE Processing Center (NWIPC),Dedicated,"1623 E J Street, Suite 2 Tacoma, WA, 98421-1615",Seattle,Washington,CDF,GEO,91.1,389.3,245.5,36.1,68.4,761,134,267,67,19,9,368,344,1181,1181
Northwest State Correctional Center,Non-Dedicated,"3649 Lower Newton Rd. St Albans City, VT 05488",Boston,Vermont,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Nye County Jail,Non-Dedicated,"1521 E. Siri Lane, Pahrump, NV 89060.",Salt Lake City,Nevada,IGSA,GOV,55.9,49.9,22.9,0,0,74,29,57,15,0,0,72,72,0,
Ogle County Jail,Non-Dedicated,"103 Jefferson St, Oregon, IL 61061",Chicago,Illinois,USMS IGA,GOV,2.1,0.4,0.1,0,0,0,2,0,0,0,0,0,1,0,
Okmulgee County Jail,Non-Dedicated,"314 W 7th St. Okmulgee, OK 74447",Dallas,Oklahoma,IGSA,GOV,50.2,95.2,82,0,0,184,87,44,44,0,0,90,82,0,
Oldham County Jail,Non-Dedicated,"3405 KY-146, La Grange, KY 40031",Chicago,Kentucky,USMS IGA,GOV,,,,,,2,,,,,,1,1,,
Orange County Intake Release Facility,Non-Dedicated,"550 N Flower St. Santa Ana, CA 92703",Los Angeles,California,IGSA,GOV,,,,,,0,,,,,,0,0,,
Orange County Jail,Non-Dedicated,"110 Wells Farm Road Goshen, NY, 10924",New York City,New York,IGSA,GOV,93.2,64.9,33.9,0.3,1.3,104,89,39,22,0,0,62,65,0,
Orange County Jail (Florida),Non-Dedicated,"3855 S John Young Pkwy Orlando, FL 32839",Miami,Florida,USMS IGA,GOV,,,,,,2,,,,,,1,1,,
Otay Mesa Detention Center (San Diego CDF),Dedicated,"7488 Calzada de la Fuente San Diego, CA, 92231",San Diego,California,CDF,CORECIVIC,99.7,156.4,475.1,15.9,78.3,754,116,155,154,15,26,353,341,1100,750
Otero County Processing Center,Dedicated,"26 McGregor Range Road Chaparral, NM, 88081",El Paso,New Mexico,DIGSA,MTC,46,313.1,304.4,0,0.1,646,63,81,127,0,0,211,200,500,500
Pennington County Jail,Non-Dedicated,"307 St Joseph St, Rapid City, SD 57701",St. Paul,South Dakota,USMS IGA,GOV,,,,,,0,,,,,,1,1,,
Phelps County Jail,Non-Dedicated,"715 5th Ave. Holdrege, NE. 68949",St. Paul,Nebraska,USMS IGA,GOV,40,9.8,2.7,0.2,0,13,43,14,2,0,0,16,17,0,
Pike County Correctional Facility,Non-Dedicated,"175 Pike County Blvd. Lords Valley, PA, 18428",Philadelphia,Pennsylvania,IGSA,GOV,69.3,73.4,45.7,0,0.1,123,62,32,18,0,0,51,47,0,
Pine Prairie ICE Processing Center,Dedicated,"1133 Hampton Dupre Road Pine Prairie, LA, 70576",New Orleans,Louisiana,DIGSA,GEO,96.3,127.8,382,0,0,523,83,102,129,0,0,226,234,0,
Pinnellas County Jail,Non-Dedicated,"14400 49th North Street, Clearwater, FL 33762",Miami,Florida,USMS IGA,GOV,,,,,,4,,,,,,2,2,,
Platte County Detention Center,Non-Dedicated,"415 S 3 St. Platte City, MO 64079",Chicago,Missouri,IGSA,GOV,23.9,3,1.3,1.1,0.6,1,,,,,,0,0,0,
Platte County Jail,Non-Dedicated,"850 Maple St, Wheatland, WY 82201",Denver,Wyoming,USMS IGA,GOV,1.4,0.4,0.2,0,0,6,,,,,,0,0,0,
Plymouth County Correctional Facility,Non-Dedicated,"26 Long Pond Road Plymouth, MA, 02360",Boston,Massachusetts,IGSA,GOV,85.3,107,114,0,0,229,140,53,44,0,0,98,92,0,
Polk County Jail,Non-Dedicated,"1985 NE 51st Place Des Moines, IA, 50313",St. Paul,Iowa,USMS IGA,GOV,27,23.2,3.6,1.1,0.8,29,43,20,9,2,0,31,30,0,
Port Isabel Detention Center,Dedicated,"27991 Buena Vista Blvd. Los Fresnos, TX, 78566",San Antonio,Texas,SPC,GOV,15.9,182,494.9,0,1,708,12,79,297,0,1,368,401,800,800
Pottawattamie County Jail,Non-Dedicated,"1400 Big Lake Rd, Council Bluffs, IA 51501",St. Paul,Iowa,USMS IGA,GOV,,,,,,2,15,2,0,0,0,2,4,,
Prairieland Detention Facility,Dedicated,"1209 Sunflower Lane Alvarado, TX, 76009",Dallas,Texas,DIGSA,LASALLE,20.6,265.3,180.1,21.4,19.3,493,15,178,107,8,17,311,316,550,550
Pulaski County Detention Center,Non-Dedicated,"1026 Shawnee College Road Ullin, IL, 62992",Chicago,Illinois,IGSA,GOV,25.2,72.9,34.7,4.6,4,119,36,55,27,3,2,88,88,0,
Randall County Jail,Non-Dedicated,"9100 S Georgia St, Amarillo, TX 79118",Dallas,Texas,USMS IGA,GOV,1.8,1,0.4,0,0,1,,,,,,2,2,0,
Richwood Correctional Center,Dedicated,"180 Pine Bayou Circle Monroe, LA, 71202",New Orleans,Louisiana,DIGSA,GOV,114.6,75.5,423.6,0,0.5,507,57,35,149,0,0,186,179,677,677
Rio Grande County Jail,Non-Dedicated,"640 Cherry Street, Del Norte, CO, 81132",Denver,Colorado,IGSA,GOV,2,0.1,0.1,0,0,0,,,,,,0,0,0,
Rio Grande Detention Center,Dedicated,"1001 San Rio Blvd Laredo, TX, 78046",San Antonio,Texas,USMS CDF,GEO,31.8,62.9,233.3,0,0,308,80,53,106,0,0,153,163,275,275
River Correctional Center,Dedicated,"26362 Highway 15 Ferriday, LA, 71334",New Orleans,Louisiana,DIGSA,GOV,98.4,47.7,241.9,0,0,294,82,31,129,0,0,160,154,361,361
Roanoke City Jail,Non-Dedicated,"324 Campbell Ave SW, Roanoke, VA 24016",Washington D.C.,Virginia,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Robert A. Deyton Detention Facility,Dedicated,"11866 Hastings Bridge Road Lovejoy, GA, 30250",Atlanta,Georgia,USMS CDF,GOV,6.4,10.4,6.6,0,0,17,8,13,6,0,0,19,18,0,
Rockingham County Jail,Non-Dedicated,"57 Liberty St, Harrisonburg, VA 22801",Washington D.C.,Virginia,USMS IGA,GOV,6.4,10.4,6.6,0,0,0,,,,,,0,0,,
Rolling Plains Detention Center,Non-Dedicated,"118 County Road 206 Haskell, TX, 79521",Dallas,Texas,USMS IGA,LASALLE,48.6,20.1,5.9,8,30.6,67,27,17,12,7,6,41,42,0,
Saint Clair County Jail,Non-Dedicated,"1170 Michigan Road Port Huron, MI, 48060",Detroit,Michigan,IGSA,GOV,39.2,22.1,20.4,0,0.1,44,56,19,10,0,0,29,29,0,
Saint Tammany Parish Jail,Non-Dedicated,"1200 Champagne St, Covington, LA 70433",New Orleans,Louisiana,IGSA,GOV,,,,,,4,,,,,,0,0,,
Salt Lake County Metro Jail,Non-Dedicated,"3415 S 900 W, South Salt Lake, UT 84119",Salt Lake City,Utah,USMS IGA,GOV,1.7,0.9,0.2,0.1,0,1,,,,,,1,1,0,
San Juan Staging Facility,,"7 Tabonuco St., Suite 100 Guaynabo, Puerto Rico",Miami,Puerto Rico,,GOV,,,,,,,,,,,,,,,
San Luis Regional Detention Center,Non-Dedicated,"406 N. Avenue D San Luis, Arizona 85349",San Diego,Arizona,IGSA,LASALLE,5.6,9.3,25.4,0.8,10.4,47,20,31,25,2,2,62,52,100,100
Santa Ana City Jail,,"62 Civic Center Plaza Santa Ana, CA, 92701",Los Angeles,California,,GOV,,,,,,,,,,,,,,,
Santa Cruz County Jail,Non-Dedicated,"2170 N Congress Dr, Nogales, AZ 85621",Phoenix,Arizona,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Sebastian County Detention Center,Non-Dedicated,"801 S A St, Fort Smith, AR 72901",New Orleans,Arkansas,USMS IGA,GOV,,,,,,1,,,,,,0,0,,
Seneca County Jail,Non-Dedicated,"3040 South State Route 100 Tiffin, OH, 44883",Detroit,Ohio,IGSA,GOV,42.4,16.8,26.1,1.1,1.9,47,55,20,13,0,0,33,31,0,
Shawnee County Department of Corrections,Non-Dedicated,"501 SE 8th Ave, Topeka, KS 66607",Chicago,Kansas,IGSA,GOV,,,,,,1,,,,,,0,0,,
Shawnee County Juvenille Detentin Center,Non-Dedicated,"401 SE 8th Topeka, Kansas 66607",Chicago,Kansas,JUVENILE,GOV,,,,,,0,,,,,,0,0,,
Sherburne County Jail Services,Non-Dedicated,"13880 Business Center Drive NW Elk River, MN, 55330",St. Paul,Minnesota,IGSA,GOV,64,137.6,63.1,7.6,4.3,222,132,49,19,5,1,74,72,300,
South Central Regional Jail,Non-Dedicated,"1001 Centre Way, Charleston, WV 25309",Philadelphia,West Virginia,USMS IGA,GOV,8.3,2.4,1,0,0,3,7,2,1,0,0,2,3,0,
South Louisiana Correctional Center,Dedicated,"3843 Stagg Ave Basile, LA, 70515",New Orleans,Louisiana,DIGSA,GEO,100.4,0.1,0,45.9,363.6,433,19,1,0,30,59,91,88,700,700
South Texas Family Residential Center (Dilley),Dedicated,"300 El Rancho Way Dilley, TX, 78017",San Antonio,Texas,FAMILY,CORECIVIC,43.5,0,191.2,3.7,531.1,770,57,0,68,1,108,176,195,2400,2400
Western Tennessee Detention Center,Non-Dedicated,"6299 Finde Naifeh Dr. Mason, TN 38049",New Orleans,Tennessee,USMS IGA,CORECIVIC,,,,,,1,2,1,0,0,0,1,1,,
Whitfield County Jail,Non-Dedicated,"805 Professional Blvd. Dalton, GA 30720",Atlanta,Georgia,IGSA,GOV,,,,,,1,,,,,,0,0,,
Willacy County Regional Detention Facility,Non-Dedicated,"1601 Buffalo Drive Raymondville, TX, 78580",San Antonio,Texas,USMS IGA,MTC,,,,,,0,,,,,,0,0,,
South Texas ICE Processing Center (Pearsall),Dedicated,"566 Veterans Drive Pearsall, TX, 78061",San Antonio,Texas,CDF,GEO,72.4,379.3,574,27.5,95.3,1111,91,242,414,0,0,663,646,1350,1350
Stewart Detention Center,Dedicated,"146 CCA Road Lumpkin, GA, 31815",Atlanta,Georgia,DIGSA,CORECIVIC,51.3,746.8,604.5,0,0.5,1381,57,511,261,0,1,778,738,1600,1600
Strafford County Corrections,Non-Dedicated,"266 County Farm Road Dover, NH, 03820",Boston,New Hampshire,IGSA,GOV,20.2,41.3,30.9,3.9,3.9,80,81,44,41,0,3,89,83,0,
Suffolk County House of Corrections,Non-Dedicated,"20 Bradston St., Boston, MA 02118",Boston,Massachusetts,IGSA,GOV,,,,,,4,,,,,,0,0,,
T. Don Hutto Residential Center,Dedicated,"1001 Welch St. Taylor, TX, 76574",San Antonio,Texas,FAMILY,CORECIVIC,89.7,0,0.5,11.3,266.7,293,70,0,0,2,64,67,66,461,461
Tallahatchie County Correction,Non-Dedicated,"19351 US Hwy 49 N, Tutwiler, MS 38963 ",New Orleans,Mississippi,USMS IGA,CORECIVIC,29.4,15.5,109.6,0,0,133,,,,,,0,0,,
Teller County Detention Center,Non-Dedicated,"288 Weaverville Rd, Divide, CO 80814",Denver,Colorado,IGSA,GOV,34.2,7.2,4.7,0.2,1.4,14,21,5,1,0,0,7,6,0,
Tooele County Jail,Non-Dedicated,"1960 S Main St, Tooele, UT 84074",Salt Lake City,Utah,USMS IGA,GOV,6,0.1,0,0,0,0,3,0,0,0,0,0,0,,
Torrance County Detention Facility,Non-Dedicated,"209 County Road A049 Estancia, NM, 87016",El Paso,New Mexico,IGSA,CORECIVIC,35.2,115.5,91.5,0,0,218,145,19,17,0,0,37,31,714,714
Val Verde County Facility,Non-Dedicated,"253 FM 2523, Del Rio, TX 78840",San Antonio,Texas,USMS IGA,GEO,2,0.3,0.2,0.1,0,1,,,,,,1,1,0,
Wake County Sherrif Department,Non-Dedicated,"330 S Salisbury St, Raleigh, NC 27601",Atlanta,North Carolina,IGSA,GOV,,,,,,0,,,,,,0,0,,
Wakulla County Jail,Non-Dedicated,"15 Oak St, Crawfordville, FL 32327",Miami,Florida,IGSA,GOV,40.9,66.1,15.7,0,0,82,53,56,11,0,0,67,61,0,
Washington County Jail,Non-Dedicated,"750 South 5300 West Hurricane, Utah 84737",Salt Lake City,Utah,USMS IGA,GOV,7.9,3.9,1.5,0.2,0.1,6,7,3,2,0,0,5,5,0,
Washoe County Jail,Non-Dedicated,"911 E Parr Blvd Reno, NV, 89512",Salt Lake City,Nevada,USMS IGA,GOV,16.3,10.9,2.3,0.6,0.3,14,18,10,2,0,0,12,12,0,
Webb County Detention Center,Dedicated,"9998 U.S. 83 Laredo, TX, 78046",San Antonio,Texas,DIGSA,CORECIVIC,40.4,37.1,34.3,3,3.5,80,18,12,14,7,27,58,57,300,
Weber County Correctional Facility,,"721 W. 12th Street Ogden, UT, 84401",Salt Lake City,Utah,,GOV,,,,,,,,,,,,,,,
West Texas Detention Center,Non-Dedicated,"401 South Vaquero Avenue Sierra Blanca, TX 79851",El Paso,Texas,USMS IGA,LASALLE,,,,,,38,,,,,,0,0,,
Winn Correctional Center,Dedicated,"560 Gum Springs Road Winnfield, LA, 71483",New Orleans,Louisiana,DIGSA,GOV,110.4,261.3,773.7,0,0,1040,93,195,260,0,0,462,421,946,946
Worcester County Jail,Non-Dedicated,"5022 Joyner Road Snow Hill, MD, 21863",Baltimore,Maryland,IGSA,GOV,80.3,51.3,23.4,3.1,2.3,85,65,15,5,1,1,23,21,0,0
Wyatt Detention Center,Non-Dedicated,"950 High Street
Central Falls, RI 02863",Boston,Rhode Island,USMS IGA,GOV,74.6,38.9,29.9,0,0,72,78,18,5,0,0,22,27,0,0
Yakima County Department of Corrections,Non-Dedicated,"111 N Front St. Yakima, WA 98901",Seattle,Washington,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Yankton County Jail,Non-Dedicated,"410 Walnut Street, Yankton SD 57078",St. Paul,South Dakota,USMS IGA,GOV,2.8,0.6,0.4,0.1,0,1,3,1,0,0,0,1,1,0,0
York County Detention Cener,Non-Dedicated,"1675 York Hwy York, SC 29745",Atlanta,South Carolina,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
York County Prison,Non-Dedicated,"3400 Concord Road York, PA, 17402",Philadelphia,Pennsylvania,IGSA,GOV,58.6,273.9,97.9,13.1,12.2,404,86,224,72,12,5,310,327,500,500
Yuba County Jail,Non-Dedicated,"215 5th St. Marysville, CA, 95901",San Francisco,California,IGSA,GOV,80.6,102.6,12.5,6.1,1.3,129,221,24,1,0,0,26,23,150,150